repoid	name	baseurl	repomd
ol9_baseos_latest	Oracle Linux 9 BaseOS Latest ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/baseos/latest/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/baseos/latest/x86_64/repodata/repomd.xml
ol9_appstream	Oracle Linux 9 Application Stream Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/appstream/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/appstream/x86_64/repodata/repomd.xml
ol9_u0_baseos_base	Oracle Linux 9 BaseOS GA ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/0/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/0/baseos/base/x86_64/repodata/repomd.xml
ol9_u1_baseos_base	Oracle Linux 9.1 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/1/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/1/baseos/base/x86_64/repodata/repomd.xml
ol9_u2_baseos_base	Oracle Linux 9.2 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/2/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/2/baseos/base/x86_64/repodata/repomd.xml
ol9_u3_baseos_base	Oracle Linux 9.3 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/3/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/3/baseos/base/x86_64/repodata/repomd.xml
ol9_u4_baseos_base	Oracle Linux 9.4 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/4/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/4/baseos/base/x86_64/repodata/repomd.xml
ol9_u5_baseos_base	Oracle Linux 9.5 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/5/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/5/baseos/base/x86_64/repodata/repomd.xml
ol9_u6_baseos_base	Oracle Linux 9.6 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/6/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/6/baseos/base/x86_64/repodata/repomd.xml
ol9_u7_baseos_base	Oracle Linux 9.7 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/7/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/7/baseos/base/x86_64/repodata/repomd.xml
ol9_addons	Oracle Linux 9 Addons ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/addons/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/addons/x86_64/repodata/repomd.xml
ol9_codeready_builder	Oracle Linux 9 CodeReady Builder ($basearch) - (Unsupported)	https://yum.oracle.com/repo/OracleLinux/OL9/codeready/builder/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/codeready/builder/x86_64/repodata/repomd.xml
ol9_distro_builder	Oracle Linux 9 Distro Builder ($basearch) - (Unsupported)	https://yum.oracle.com/repo/OracleLinux/OL9/distro/builder/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/distro/builder/x86_64/repodata/repomd.xml
ol9_MODRHCK	Latest RHCK with fixes from Oracle for Oracle Linux $releasever ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/MODRHCK/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/MODRHCK/x86_64/repodata/repomd.xml
ol9_u3_security_validation	Oracle Linux $releasever Update 3 ($basearch) Security Validations	https://yum.oracle.com/repo/OracleLinux/OL9/3/security/validation/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/3/security/validation/x86_64/repodata/repomd.xml
ol9_UEKR7	Oracle Linux 9 UEK Release 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/UEKR7/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/UEKR7/x86_64/repodata/repomd.xml
ol9_RDMA	Oracle Linux 9 ($basearch) RDMA	https://yum.oracle.com/repo/OracleLinux/OL9/RDMA/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/RDMA/x86_64/repodata/repomd.xml
ol9_UEKR8	Oracle Linux 9 UEK Release 8 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/UEKR8/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/UEKR8/x86_64/repodata/repomd.xml
ol9_kvm_utils	Oracle Linux 9 KVM Utilities ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/kvm/utils/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/kvm/utils/x86_64/repodata/repomd.xml
ol9_automation2_3	Oracle Linux Automation Manager 2.3 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/automation2.3/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/automation2.3/x86_64/repodata/repomd.xml
ol9_ovirt45	oVirt 4.5 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/ovirt45/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/ovirt45/x86_64/repodata/repomd.xml
ol9_ovirt45_extras	oVirt 4.5 Extra Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/ovirt45/extras/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/ovirt45/extras/x86_64/repodata/repomd.xml
ol9_MySQL_connectors_community	MySQL Connectors Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/MySQL/connectors/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/MySQL/connectors/community/x86_64/repodata/repomd.xml
ol9_MySQL_innovation_community	MySQL Innovation Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/MySQL/innovation/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/MySQL/innovation/community/x86_64/repodata/repomd.xml
ol9_MySQL_innovation_tools_community	MySQL Innovation Tools Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/MySQL/innovation/tools/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/MySQL/innovation/tools/community/x86_64/repodata/repomd.xml
ol9_MySQL97_community	MySQL 9.7 Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL9/MySQL97/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL9/MySQL97/community/x86_64/repodata/repomd.xml
