repoid	name	baseurl	repomd
ol8_ovirt45	oVirt 4.5 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/ovirt45/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/ovirt45/x86_64/repodata/repomd.xml
ol8_ovirt45_extras	oVirt 4.5 Extra Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/ovirt45/extras/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/ovirt45/extras/x86_64/repodata/repomd.xml
ol8_ocne	Oracle Cloud Native Environment ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/ocne/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/ocne/x86_64/repodata/repomd.xml
ol8_oraclelinuxmanager210_client	Oracle Linux Manager 2.10 Client ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/oraclelinuxmanager210/client/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/oraclelinuxmanager210/client/x86_64/repodata/repomd.xml
ol8_MySQL_connectors_community	MySQL Connectors Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL/connectors/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL/connectors/community/x86_64/repodata/repomd.xml
ol8_MySQL_innovation_community	MySQL Innovation Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL/innovation/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL/innovation/community/x86_64/repodata/repomd.xml
ol8_MySQL_innovation_tools_community	MySQL Innovation Tools Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL/innovation/tools/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL/innovation/tools/community/x86_64/repodata/repomd.xml
ol8_MySQL97_community	MySQL 9.7 Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL97/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL97/community/x86_64/repodata/repomd.xml
ol8_MySQL97_tools_community	MySQL 9.7 Tools Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL97/tools/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL97/tools/community/x86_64/repodata/repomd.xml
ol8_MySQL84_community	MySQL 8.4 Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL84/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/MySQL84/community/x86_64/repodata/repomd.xml
