repoid	name	baseurl	repomd
ol7_ceph	Ceph Storage for Oracle Linux Release 2.0 - Oracle Linux 7.2 or later ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/ceph/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/ceph/x86_64/repodata/repomd.xml
ol7_ceph10	Ceph Storage for Oracle Linux Release 1.0 - Oracle Linux 7.1 or later ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/ceph10/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/ceph10/x86_64/repodata/repomd.xml
ol7_software_collections	Software Collection Library release 3.0 packages for Oracle Linux 7 (x86_64)	https://yum.oracle.com/repo/OracleLinux/OL7/SoftwareCollections/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/SoftwareCollections/x86_64/repodata/repomd.xml
ol7_spacewalk24_server	Spacewalk Server 2.4 for Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk24/server/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk24/server/x86_64/repodata/repomd.xml
ol7_spacewalk24_client	Spacewalk Client 2.4 for Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk24/client/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk24/client/x86_64/repodata/repomd.xml
ol7_spacewalk26_server	Spacewalk Server 2.6 for Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk26/server/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk26/server/x86_64/repodata/repomd.xml
ol7_spacewalk26_client	Spacewalk Client 2.6 for Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk26/client/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk26/client/x86_64/repodata/repomd.xml
ol7_spacewalk27_server	Spacewalk Server 2.7 for Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk27/server/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk27/server/x86_64/repodata/repomd.xml
ol7_spacewalk27_client	Spacewalk Client 2.7 for Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk27/client/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/spacewalk27/client/x86_64/repodata/repomd.xml
ol7_MODRHCK	Latest RHCK with fixes from Oracle for Oracle Linux $releasever ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/MODRHCK/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/MODRHCK/x86_64/repodata/repomd.xml
ol7_gluster41	Oracle Linux $releasever Gluster 4.1 Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/gluster41/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/gluster41/x86_64/repodata/repomd.xml
ol7_gluster312	Oracle Linux $releasever Gluster 3.12 Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/gluster312/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/gluster312/x86_64/repodata/repomd.xml
ol7_oracle_instantclient	Oracle Instant Client for Oracle Linux $releasever ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/oracle/instantclient/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/oracle/instantclient/x86_64/repodata/repomd.xml
ol7_preview	Oracle Linux $releasever Preview ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/preview/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/preview/x86_64/repodata/repomd.xml
ol7_developer	Oracle Linux $releasever Development Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer/x86_64/repodata/repomd.xml
ol7_developer_olcne	Developer Preview for Oracle Linux Cloud Native Environment ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer/olcne/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer/olcne/x86_64/repodata/repomd.xml
ol7_developer_EPEL	Oracle Linux $releasever Development Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/developer_EPEL/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/developer_EPEL/x86_64/repodata/repomd.xml
